------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'RuntimeBroker.exe', 'pid': 13356, 'username': 'BHAVESH\\ahire', 'vms': 14.78515625}
{'name': 'svchost.exe', 'pid': 13404, 'username': 'BHAVESH\\ahire', 'vms': 3.70703125}
{'name': 'RuntimeBroker.exe', 'pid': 13420, 'username': 'BHAVESH\\ahire', 'vms': 9.29296875}
{'name': 'ONENOTEM.EXE', 'pid': 13456, 'username': 'BHAVESH\\ahire', 'vms': 3.1640625}
{'name': 'jusched.exe', 'pid': 13508, 'username': 'BHAVESH\\ahire', 'vms': 2.3203125}
{'name': 'WidgetService.exe', 'pid': 13704, 'username': 'BHAVESH\\ahire', 'vms': 4.69921875}
{'name': 'Code.exe', 'pid': 13792, 'username': 'BHAVESH\\ahire', 'vms': 110.48046875}
{'name': 'msedge.exe', 'pid': 13816, 'username': 'BHAVESH\\ahire', 'vms': 61.09375}
{'name': 'Code.exe', 'pid': 13884, 'username': 'BHAVESH\\ahire', 'vms': 85.4453125}
{'name': 'RuntimeBroker.exe', 'pid': 13924, 'username': 'BHAVESH\\ahire', 'vms': 2.44921875}
{'name': 'AdobeCollabSync.exe', 'pid': 13948, 'username': 'BHAVESH\\ahire', 'vms': 10.73828125}
{'name': 'msedgewebview2.exe', 'pid': 14288, 'username': 'BHAVESH\\ahire', 'vms': 38.6484375}
{'name': 'msedgewebview2.exe', 'pid': 14676, 'username': 'BHAVESH\\ahire', 'vms': 2.34765625}
{'name': 'msedgewebview2.exe', 'pid': 14956, 'username': 'BHAVESH\\ahire', 'vms': 72.15625}
{'name': 'msedgewebview2.exe', 'pid': 14984, 'username': 'BHAVESH\\ahire', 'vms': 13.8671875}
{'name': 'msedgewebview2.exe', 'pid': 15120, 'username': 'BHAVESH\\ahire', 'vms': 8.6484375}
{'name': 'ctfmon.exe', 'pid': 15308, 'username': 'BHAVESH\\ahire', 'vms': 8.07421875}
{'name': 'jucheck.exe', 'pid': 15448, 'username': 'BHAVESH\\ahire', 'vms': 3.67578125}
{'name': 'WhatsApp.exe', 'pid': 15528, 'username': 'BHAVESH\\ahire', 'vms': 130.1015625}
{'name': 'LockApp.exe', 'pid': 15544, 'username': 'BHAVESH\\ahire', 'vms': 42.17578125}
{'name': 'LightStudio-background.exe', 'pid': 15584, 'username': 'BHAVESH\\ahire', 'vms': 165.80859375}
{'name': 'mc-extn-browserhost.exe', 'pid': 15640, 'username': 'BHAVESH\\ahire', 'vms': 5.19921875}
{'name': 'chrome.exe', 'pid': 15756, 'username': 'BHAVESH\\ahire', 'vms': 411.85546875}
{'name': 'DesktopExtension.exe', 'pid': 16044, 'username': 'BHAVESH\\ahire', 'vms': 24.1171875}
{'name': 'svchost.exe', 'pid': 16208, 'username': None, 'vms': 6.765625}
{'name': 'powershell.exe', 'pid': 16268, 'username': 'BHAVESH\\ahire', 'vms': 60.0546875}
{'name': 'conhost.exe', 'pid': 16380, 'username': 'BHAVESH\\ahire', 'vms': 1.5078125}
{'name': 'svchost.exe', 'pid': 16472, 'username': None, 'vms': 4.87109375}
{'name': 'PhoneExperienceHost.exe', 'pid': 16868, 'username': 'BHAVESH\\ahire', 'vms': 76.9921875}
{'name': 'RuntimeBroker.exe', 'pid': 17000, 'username': 'BHAVESH\\ahire', 'vms': 5.8984375}
{'name': 'msedge.exe', 'pid': 17056, 'username': 'BHAVESH\\ahire', 'vms': 17.50390625}
{'name': 'RuntimeBroker.exe', 'pid': 17076, 'username': 'BHAVESH\\ahire', 'vms': 2.96875}
{'name': 'svchost.exe', 'pid': 17136, 'username': None, 'vms': 3.87109375}
{'name': 'RuntimeBroker.exe', 'pid': 17176, 'username': 'BHAVESH\\ahire', 'vms': 12.3515625}
{'name': 'CastSrv.exe', 'pid': 17256, 'username': 'BHAVESH\\ahire', 'vms': 4.5}
{'name': 'svchost.exe', 'pid': 17340, 'username': None, 'vms': 2.96875}
{'name': 'backgroundTaskHost.exe', 'pid': 17876, 'username': 'BHAVESH\\ahire', 'vms': 4.90234375}
{'name': 'chrome.exe', 'pid': 18068, 'username': 'BHAVESH\\ahire', 'vms': 264.125}
{'name': 'chrome.exe', 'pid': 18092, 'username': 'BHAVESH\\ahire', 'vms': 43.3984375}
{'name': 'SystemSettings.exe', 'pid': 18288, 'username': 'BHAVESH\\ahire', 'vms': 124.12109375}
{'name': 'unsecapp.exe', 'pid': 18532, 'username': 'BHAVESH\\ahire', 'vms': 1.80078125}
{'name': 'SecurityHealthService.exe', 'pid': 18752, 'username': None, 'vms': 7.78125}
{'name': 'svchost.exe', 'pid': 18848, 'username': None, 'vms': 3.60546875}
{'name': 'FileSyncHelper.exe', 'pid': 18984, 'username': None, 'vms': 5.65625}
