------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 9012, 'name': 'sihost.exe', 'username': 'BHAVESH\\ahire', 'vms': 8.6015625}
{'pid': 9048, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 15.5546875}
{'pid': 9164, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 77.40625}
{'pid': 9244, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 5.546875}
{'pid': 9416, 'name': 'svchost.exe', 'username': None, 'vms': 30.453125}
{'pid': 9472, 'name': 'svchost.exe', 'username': None, 'vms': 13.796875}
{'pid': 9540, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.44921875}
{'pid': 9548, 'name': 'mc-fw-host.exe', 'username': 'BHAVESH\\ahire', 'vms': 10.30078125}
{'pid': 9740, 'name': 'AggregatorHost.exe', 'username': None, 'vms': 5.13671875}
{'pid': 9756, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 11.51953125}
{'pid': 9860, 'name': 'RtkAudUService64.exe', 'username': None, 'vms': 25.77734375}
{'pid': 9920, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 160.7734375}
{'pid': 9972, 'name': 'ipf_helper.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.078125}
{'pid': 10140, 'name': 'ETDCtrl.exe', 'username': 'BHAVESH\\ahire', 'vms': 7.20703125}
{'pid': 10184, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 136.5234375}
{'pid': 10340, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.140625}
{'pid': 10396, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 7.984375}
{'pid': 10472, 'name': 'taskhostw.exe', 'username': 'BHAVESH\\ahire', 'vms': 10.01171875}
{'pid': 10484, 'name': 'OverlayHelper.exe', 'username': 'BHAVESH\\ahire', 'vms': 32.84375}
{'pid': 10528, 'name': 'SystemOptimizer.exe', 'username': 'BHAVESH\\ahire', 'vms': 41.59375}
{'pid': 10600, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.8125}
{'pid': 10604, 'name': 'svchost.exe', 'username': None, 'vms': 5.15234375}
{'pid': 10648, 'name': 'svchost.exe', 'username': None, 'vms': 2.55078125}
{'pid': 10756, 'name': 'OmenInstallMonitor.exe', 'username': 'BHAVESH\\ahire', 'vms': 31.140625}
{'pid': 11108, 'name': 'TextInputHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 46.03515625}
{'pid': 11224, 'name': 'svchost.exe', 'username': None, 'vms': 6.046875}
{'pid': 11284, 'name': 'explorer.exe', 'username': 'BHAVESH\\ahire', 'vms': 344.234375}
{'pid': 11324, 'name': 'svchost.exe', 'username': None, 'vms': 7.05078125}
{'pid': 11432, 'name': 'ShellHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 33.1171875}
{'pid': 11492, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.82421875}
{'pid': 11576, 'name': 'svchost.exe', 'username': None, 'vms': 1.06640625}
{'pid': 11616, 'name': 'SECOCL64.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.890625}
{'pid': 11648, 'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.23046875}
{'pid': 11672, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 119.05078125}
{'pid': 11796, 'name': 'CrossDeviceResume.exe', 'username': 'BHAVESH\\ahire', 'vms': 35.56640625}
{'pid': 12004, 'name': 'svchost.exe', 'username': None, 'vms': 9.30078125}
{'pid': 12072, 'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.4765625}
{'pid': 12144, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 10.78515625}
{'pid': 12444, 'name': 'RtkAudUService64.exe', 'username': 'BHAVESH\\ahire', 'vms': 26.18359375}
{'pid': 12472, 'name': 'svchost.exe', 'username': None, 'vms': 3.67578125}
{'pid': 12508, 'name': 'FileCoAuth.exe', 'username': 'BHAVESH\\ahire', 'vms': 6.2578125}
{'pid': 12540, 'name': 'UserOOBEBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.953125}
{'pid': 12556, 'name': 'CrossDeviceService.exe', 'username': 'BHAVESH\\ahire', 'vms': 27.04296875}
{'pid': 12560, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 8.86328125}
{'pid': 12848, 'name': 'SearchIndexer.exe', 'username': None, 'vms': 34.953125}
{'pid': 12884, 'name': 'Widgets.exe', 'username': 'BHAVESH\\ahire', 'vms': 9.71875}
{'pid': 12964, 'name': 'svchost.exe', 'username': None, 'vms': 3.875}
{'pid': 13032, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 91.81640625}
{'pid': 13056, 'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.30078125}
{'pid': 13180, 'name': 'SearchHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 66.94921875}
{'pid': 13204, 'name': 'StartMenuExperienceHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 84.67578125}
{'pid': 13356, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 16.578125}
{'pid': 13404, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 3.87890625}
{'pid': 13420, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 9.22265625}
{'pid': 13456, 'name': 'ONENOTEM.EXE', 'username': 'BHAVESH\\ahire', 'vms': 3.1640625}
{'pid': 13508, 'name': 'jusched.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.3203125}
{'pid': 13704, 'name': 'WidgetService.exe', 'username': 'BHAVESH\\ahire', 'vms': 4.69921875}
{'pid': 13792, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 123.08984375}
{'pid': 13816, 'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'vms': 61.09375}
{'pid': 13884, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 85.4453125}
{'pid': 13924, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.515625}
{'pid': 13948, 'name': 'AdobeCollabSync.exe', 'username': 'BHAVESH\\ahire', 'vms': 10.73828125}
{'pid': 13968, 'name': 'backgroundTaskHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 14.56640625}
{'pid': 14160, 'name': 'svchost.exe', 'username': None, 'vms': 1.7109375}
{'pid': 14288, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 38.69921875}
{'pid': 14676, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.3046875}
{'pid': 14956, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 73.34765625}
{'pid': 14984, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 14.30859375}
{'pid': 15120, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 8.47265625}
{'pid': 15308, 'name': 'ctfmon.exe', 'username': 'BHAVESH\\ahire', 'vms': 8.36328125}
{'pid': 15448, 'name': 'jucheck.exe', 'username': 'BHAVESH\\ahire', 'vms': 3.67578125}
{'pid': 15528, 'name': 'WhatsApp.exe', 'username': 'BHAVESH\\ahire', 'vms': 130.1015625}
{'pid': 15544, 'name': 'LockApp.exe', 'username': 'BHAVESH\\ahire', 'vms': 42.17578125}
{'pid': 15584, 'name': 'LightStudio-background.exe', 'username': 'BHAVESH\\ahire', 'vms': 166.1015625}
