------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'StartMenuExperienceHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 13204, 'vms': 84.5}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 13356, 'vms': 15.26171875}
{'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'pid': 13404, 'vms': 3.6640625}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 13420, 'vms': 9.3515625}
{'name': 'ONENOTEM.EXE', 'username': 'BHAVESH\\ahire', 'pid': 13456, 'vms': 3.1640625}
{'name': 'jusched.exe', 'username': 'BHAVESH\\ahire', 'pid': 13508, 'vms': 2.3203125}
{'name': 'WidgetService.exe', 'username': 'BHAVESH\\ahire', 'pid': 13704, 'vms': 4.74609375}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 13760, 'vms': 25.9609375}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 13792, 'vms': 123.01953125}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 13884, 'vms': 85.4609375}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 13924, 'vms': 2.44921875}
{'name': 'AdobeCollabSync.exe', 'username': 'BHAVESH\\ahire', 'pid': 13948, 'vms': 10.73828125}
{'name': 'backgroundTaskHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 13968, 'vms': 14.29296875}
{'name': 'python.exe', 'username': 'BHAVESH\\ahire', 'pid': 14136, 'vms': 12.79296875}
{'name': 'svchost.exe', 'username': None, 'pid': 14160, 'vms': 1.66015625}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 14288, 'vms': 38.71484375}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 14676, 'vms': 2.3046875}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 14956, 'vms': 73.22265625}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 14984, 'vms': 14.12890625}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 15120, 'vms': 8.52734375}
{'name': 'ctfmon.exe', 'username': 'BHAVESH\\ahire', 'pid': 15308, 'vms': 8.28515625}
{'name': 'jucheck.exe', 'username': 'BHAVESH\\ahire', 'pid': 15448, 'vms': 3.70703125}
{'name': 'WhatsApp.exe', 'username': 'BHAVESH\\ahire', 'pid': 15528, 'vms': 132.453125}
{'name': 'LockApp.exe', 'username': 'BHAVESH\\ahire', 'pid': 15544, 'vms': 42.17578125}
{'name': 'LightStudio-background.exe', 'username': 'BHAVESH\\ahire', 'pid': 15584, 'vms': 166.03515625}
{'name': 'mc-extn-browserhost.exe', 'username': 'BHAVESH\\ahire', 'pid': 15640, 'vms': 5.19921875}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 15756, 'vms': 413.9375}
{'name': 'DesktopExtension.exe', 'username': 'BHAVESH\\ahire', 'pid': 16044, 'vms': 24.1171875}
{'name': 'svchost.exe', 'username': None, 'pid': 16208, 'vms': 6.76953125}
